TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CYRE3;20,75;4,48;5,92;0,93;0,42;32,86;23,41;19,53;4,94;6,39;1,44;0,27;1,16;1,05;-0,98;3,45;15,65;7,15;9,82;0,46;0,50;0,37;14,72;;108.333.568,40;22,38;3,50;0,11;8.298.660.507,24
DASA3;2,11;;-1,75;0,18;0,06;26,62;7,69;-6,05;1,38;8,97;7,58;1,01;0,11;0,42;-0,08;1,65;-10,51;-3,20;5,23;0,30;0,69;0,53;29,37;;2.137.186,45;11,45;-1,20;-0,24;1.595.935.669,28
DESK3;13,27;;16,43;1,16;0,39;62,91;32,36;8,49;4,31;6,75;2,43;0,65;1,40;2,34;-0,55;2,19;7,03;2,35;9,21;0,33;0,66;0,28;;;1.493.829,85;11,49;0,81;3,50;1.534.348.527,20
DEXP3;8,14;6,29;5,43;0,93;0,59;19,70;13,27;9,38;3,84;3,29;-0,55;-0,13;0,51;1,26;-1,63;3,61;17,16;10,79;14,19;0,63;0,37;1,15;18,88;88,87;699.776,25;8,72;1,50;2,18;889.095.976,72
DEXP4;8,02;6,73;5,36;0,92;0,58;19,70;13,27;9,38;3,79;3,29;-0,55;-0,13;0,50;1,25;-1,61;3,61;17,16;10,79;14,19;0,63;0,37;1,15;18,88;88,87;32.156,85;8,72;1,50;2,15;889.095.976,72
DIRR3;29,31;8,63;9,14;2,47;0,53;35,49;19,87;18,19;8,37;8,75;0,36;0,11;1,66;1,67;-0,98;3,38;27,03;5,85;13,63;0,22;0,76;0,32;15,10;;55.227.476,70;11,86;3,21;0,11;5.100.900.000,00
DMMO3;1,76;;3,09;0,41;0,02;45,67;4,75;3,87;2,52;2,52;;;0,12;4,72;-0,02;;13,29;0,62;;0,05;0,95;0,16;51,46;;;4,29;0,57;0,01;949.254.731,04
DMVF3;6,38;;10,27;0,36;0,19;31,58;3,43;1,58;4,72;4,46;-0,26;-0,02;0,16;5,11;-0,28;1,13;3,54;1,84;6,62;0,52;0,48;1,16;332,10;552,01;585.740,10;17,65;0,62;0,09;323.858.188,80
DOHL3;8,00;;-56,36;0,88;0,62;22,38;-0,27;-1,70;-361,08;-348,75;-38,35;0,09;0,96;1,40;-1,42;4,88;-1,55;-1,10;-0,96;0,71;0,29;0,65;5,16;;129,95;9,14;-0,14;-3,73;520.240.645,35
DOHL4;3,99;;-28,11;0,44;0,31;22,38;-0,27;-1,70;-180,09;-348,75;-38,35;0,09;0,48;0,70;-0,71;4,88;-1,55;-1,10;-0,96;0,71;0,29;0,65;5,16;;3.823,50;9,14;-0,14;-1,86;520.240.645,35
DOTZ3;5,14;;-2,88;-0,28;0,32;82,46;-9,52;-15,53;-4,70;-7,41;-2,72;;0,45;-0,35;-0,49;0,29;-9,62;-10,94;8,99;-1,14;2,14;0,70;1,78;;91.287,50;-18,53;-1,78;0,04;68.146.489,08
DTCY3;4,10;;-13,69;-9,42;8,16;16,90;-52,60;-62,81;-16,35;-26,39;-0,60;;8,60;-21,29;-15,03;0,54;-68,81;-59,64;106,69;-0,87;1,87;0,95;-18,43;;374,40;-0,44;-0,30;0,02;72.000.954,60
DTCY4;62,60;;-209,00;-143,82;124,65;16,90;-52,60;-62,81;-249,57;-26,39;-0,60;;131,28;-325,00;-229,52;0,54;-68,81;-59,64;106,69;-0,87;1,87;0,95;-18,43;;;-0,44;-0,30;0,35;72.000.954,60
